2020-10-29 00:50:00,369 INFO [xxl-rpc, EmbedServer bizThreadPool-1585211827] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@5bdbaf09
2020-10-29 00:50:00,394 INFO [xxl-rpc, EmbedServer bizThreadPool-1585211827] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@551c5a02
2020-10-29 00:51:33,378 INFO [Thread-587] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-587,10,main]
2020-10-29 00:51:35,837 INFO [Thread-590] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-590,10,main]
2020-10-29 00:55:00,047 INFO [xxl-rpc, EmbedServer bizThreadPool-711081398] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@22bb016c
2020-10-29 00:55:00,073 INFO [xxl-rpc, EmbedServer bizThreadPool-711081398] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@2c7cfb4b
2020-10-29 00:56:33,056 INFO [Thread-593] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-593,10,main]
2020-10-29 00:56:35,709 INFO [Thread-596] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-596,10,main]
2020-10-29 01:00:00,026 INFO [xxl-rpc, EmbedServer bizThreadPool-623909411] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@6f8dc45e
2020-10-29 01:00:00,056 INFO [xxl-rpc, EmbedServer bizThreadPool-623909411] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@614a37df
2020-10-29 01:01:33,035 INFO [Thread-599] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-599,10,main]
2020-10-29 01:01:35,546 INFO [Thread-602] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-602,10,main]
2020-10-29 01:05:00,034 INFO [xxl-rpc, EmbedServer bizThreadPool-46284521] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@245ec2f2
2020-10-29 01:05:00,060 INFO [xxl-rpc, EmbedServer bizThreadPool-46284521] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@2a993809
